"Name","birth_year","death_year","first_year","last_year","religion_id"
William Aldam,1813,1890,1838,1848,1
James Bell,1818,1872,1847,1862,1
Henry Christy,1810,1865,1840,1865,1
William Clay,1791,1869,1839,1868,1
William Spicer Wood,NA,1902,1864,1867,1
William Wilson,1785,1868,1838,1865,1
James Wilson,NA,NA,1862,1867,1
E T Wakefield,NA,NA,1853,1864,1
John Ross,NA,NA,1839,1852,1
J Robinson,NA,NA,1839,1840,1
William Horton Lloyd,NA,NA,1862,1862,1
Joseph Lister,1827,1912,1851,1855,1
Jonathan Hutchinson,1828,1913,1857,1866,1
William Holmes,NA,NA,1840,1867,1
Thomas (1) Hodgkin,1798,1866,1838,1866,1
John Henry Gurney,1819,1890,1851,1860,1
George Stacey Gibson,1818,1883,1851,1863,1
Charles Henry Fox,NA,NA,1838,1852,1
William Fowler,NA,NA,1860,1867,1
Robert Nicholas Fowler,1828,1891,1851,1867,1
James T J Doyle,NA,NA,1839,1840,1
David Dale,1829,1906,1864,1865,1
Henry Crowley,NA,1887,1851,1855,1
x Collier,NA,NA,1860,1867,1
Charles Buxton,1823,1871,1851,1867,1
William Bull,1828,1902,1854,1854,1
Antonio Brady,1811,1881,1861,1863,1
James (1) Backhouse,1794,1869,1851,1867,1
Edward Backhouse,1808,1879,1839,1867,1
S  Stafford Allen,1840,1870,1861,1867,1
Arthur Albright,NA,NA,1861,1867,1
Rachel Albright,NA,NA,1860,1867,1
William Albright,NA,NA,1852,1860,1
William Jun Aldam,NA,NA,1838,1851,1
Frederick Alexander,NA,NA,1839,1840,1
Samuel Allen,NA,NA,1851,1864,1
John Arch,NA,NA,1852,1854,1
R Arthington,NA,NA,1855,1862,1
R Jun Arthington,NA,NA,1860,1862,1
C Ashby,NA,NA,1860,1860,1
T Jun Ashby,NA,NA,1861,1862,1
Thomas Ashby,NA,NA,1861,1867,1
Thomas Jun Ashby,NA,NA,1865,1865,1
Catherine Backhouse,NA,NA,1851,1861,1
Jonathan Backhouse,NA,NA,1838,1851,1
S Baker,NA,NA,1839,1840,1
Robert Barclay,NA,NA,1838,1855,1
Richard Barrington,NA,NA,1864,1867,1
Edward Beck,NA,NA,1838,1859,1
Eliza Bell,NA,NA,1851,1867,1
Frederick J Bell,NA,NA,1851,1857,1
S S Bell,NA,NA,1857,1866,1
Samuel Bewley,NA,NA,1866,1867,1
x Biffin,NA,NA,1861,1861,1
J Binyon,NA,NA,1856,1857,1
E L Birkbeck,NA,NA,1866,1866,1
H Birkbeck,NA,NA,1860,1860,1
W Blaine,NA,NA,1861,1862,1
Elizabeth Bowley,NA,NA,1860,1867,1
Henry Brady,NA,NA,1866,1867,1
Charles L Braithwaite,NA,NA,1866,1866,1
L Braithwaite,NA,NA,1860,1860,1
Isaac Brown,NA,NA,1839,1867,1
Joshua Brown,NA,NA,1860,1867,1
Lydia Brown,NA,NA,1862,1867,1
Sarah Burgess,NA,NA,1866,1867,1
Thomas Burgess,NA,NA,1860,1861,1
Thomas Fowell Buxton,NA,NA,1838,1867,1
W Catchpool,NA,NA,1855,1859,1
x Charleton,NA,NA,1860,1860,1
Samuel Clark,NA,NA,1839,1840,1
W Clemes,NA,NA,1853,1854,1
C Clothier,NA,NA,1860,1860,1
Joseph Cooper,NA,NA,1851,1867,1
George Crosfield,NA,NA,1838,1838,1
Joseph Crosland,NA,NA,1866,1867,1
A Crowley,NA,NA,1855,1863,1
A Dale,NA,NA,1861,1861,1
Elizabeth S Dawes,NA,NA,1867,1867,1
John Dodshon,NA,NA,1860,1867,1
Daniel Doncaster,NA,NA,1866,1867,1
Elizabeth Dyer,NA,NA,1860,1867,1
R Dymond,NA,NA,1862,1862,1
William Dyson,NA,NA,1864,1865,1
A Ellis,NA,NA,1860,1862,1
Thomas Evans,NA,NA,1860,1865,1
Ann Everett,NA,NA,1839,1861,1
Joseph Farden,NA,NA,1851,1866,1
John Fell,NA,NA,1852,1852,1
Mary Fell,NA,NA,1840,1840,1
S H Fisher,NA,NA,1855,1855,1
Caleb Fletcher,NA,NA,1854,1865,1
Martha Fletcher,NA,NA,1854,1855,1
John Ford,NA,NA,1854,1857,1
George Fox,NA,NA,1862,1867,1
Henry Fox,NA,NA,1862,1867,1
Robert Were Fox,NA,NA,1838,1867,1
Thomas Fox,NA,NA,1854,1861,1
x Fox,NA,NA,1861,1861,1
W Gayner,NA,NA,1855,1855,1
Joseph Gibbens,NA,NA,1860,1864,1
Ann Gibson,NA,NA,1860,1865,1
Francis Gibson,NA,NA,1840,1861,1
F  E Gibson,NA,NA,1860,1861,1
W G Gibson,NA,NA,1862,1862,1
